                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.88022,                 1.7046,                 1.1203,                0.63507,                0.64052,                0.65266,                0.50427,                0.81446,                 3.2272,                 1.2762,                0.00048,                0.00048,                0.00048
                      2,                0.80718,                 1.0183,                 1.1396,                0.02178,                0.48611,                0.01528,                0.00839,                 1.5265,                    inf,                 2.2829,             0.00095575,             0.00095575,             0.00095575
                      3,                0.90089,                  1.031,                 1.1976,                0.00302,                0.05556,                0.00084,                0.00031,                  3.793,                    nan,                 61.876,              0.0014067,              0.0014067,              0.0014067
                      4,                0.87819,                 1.0135,                 1.1866,                0.02119,                0.34028,                0.01216,                0.00388,                 2.9985,                    inf,                  10.76,               0.001833,               0.001833,               0.001833
                      5,                0.89794,                0.99775,                  1.194,                0.07339,                0.13194,                0.02146,                0.00944,                  3.136,                 10.638,                 5.8798,               0.001802,               0.001802,               0.001802
                      6,                 0.8639,                0.92143,                 1.1676,                0.63555,                0.45139,                0.48999,                0.34432,                 1.3405,                 3.9982,                 1.8283,               0.001802,               0.001802,               0.001802
                      7,                0.81053,                0.87184,                 1.1556,                0.52819,                0.65972,                0.49484,                0.36779,                0.88082,                 2.9069,                 1.3468,              0.0017525,              0.0017525,              0.0017525
                      8,                0.78714,                0.82912,                 1.1359,                0.47326,                0.41181,                0.39619,                0.29328,                 1.0798,                 6.7425,                 1.4294,               0.001703,               0.001703,               0.001703
                      9,                0.76036,                0.80196,                 1.1019,                 0.5272,                0.48611,                0.48877,                 0.3067,                  1.289,                 3.0067,                 1.6443,              0.0016535,              0.0016535,              0.0016535
                     10,                0.74555,                0.81536,                 1.1097,                0.84981,                0.70728,                0.80019,                 0.6354,                0.79136,                 1.3984,                 1.1963,               0.001604,               0.001604,               0.001604
                     11,                0.72412,                0.77302,                 1.0928,                0.77181,                0.56944,                0.66562,                0.49294,                 1.0294,                  1.415,                 1.3806,              0.0015545,              0.0015545,              0.0015545
                     12,                0.70538,                0.78303,                 1.0856,                0.87744,                   0.75,                 0.8381,                0.65897,                  0.749,                0.87837,                  1.166,               0.001505,               0.001505,               0.001505
                     13,                0.70389,                0.73904,                 1.0746,                 0.8768,                0.79074,                0.85075,                0.69797,                0.70949,                0.80665,                  1.157,              0.0014555,              0.0014555,              0.0014555
                     14,                0.69032,                0.73881,                 1.0781,                0.92989,                0.73682,                0.84015,                 0.6764,                0.70789,                0.88823,                 1.1294,               0.001406,               0.001406,               0.001406
                     15,                0.66899,                0.69838,                 1.0686,                0.85092,                0.72222,                0.80293,                 0.6793,                0.66857,                0.98563,                 1.1378,              0.0013565,              0.0013565,              0.0013565
                     16,                0.63824,                0.68461,                 1.0395,                0.93019,                0.74027,                0.83745,                0.69053,                0.69729,                0.79441,                  1.094,               0.001307,               0.001307,               0.001307
                     17,                0.60978,                0.66564,                 1.0252,                0.82699,                0.78472,                0.84155,                0.70354,                  0.655,                0.83955,                 1.0934,              0.0012575,              0.0012575,              0.0012575
                     18,                0.57891,                0.62708,                 1.0216,                0.90279,                0.77394,                 0.8733,                0.73819,                0.61034,                0.63837,                 1.0766,               0.001208,               0.001208,               0.001208
                     19,                0.58223,                0.61445,                 1.0099,                0.84982,                0.77778,                0.84194,                0.72564,                0.66416,                0.73342,                 1.1251,              0.0011585,              0.0011585,              0.0011585
                     20,                0.57003,                0.61052,                 1.0066,                0.89373,                0.80556,                0.85714,                0.74861,                 0.6133,                0.67897,                 1.0696,               0.001109,               0.001109,               0.001109
                     21,                0.54447,                0.59134,                 1.0124,                0.90344,                 0.8125,                0.87975,                0.75959,                0.58106,                0.67702,                 1.0596,              0.0010595,              0.0010595,              0.0010595
                     22,                0.52485,                0.54975,                 0.9803,                0.89857,                0.79978,                0.87373,                0.73756,                0.59192,                0.64326,                  1.065,                0.00101,                0.00101,                0.00101
                     23,                0.53523,                0.56016,                0.98327,                0.86997,                0.80556,                0.86852,                0.76245,                0.55145,                0.62529,                 1.0296,              0.0009605,              0.0009605,              0.0009605
                     24,                0.50694,                0.54421,                0.96938,                0.90395,                 0.8125,                0.86967,                0.77701,                0.53859,                0.58132,                 1.0451,               0.000911,               0.000911,               0.000911
                     25,                0.49482,                0.53382,                0.97463,                0.88875,                0.81944,                0.88815,                0.79121,                0.50484,                0.57135,                  1.018,              0.0008615,              0.0008615,              0.0008615
                     26,                0.48252,                 0.5117,                0.97322,                0.91433,                0.79167,                0.88791,                0.78605,                0.48206,                0.54613,                 0.9933,               0.000812,               0.000812,               0.000812
                     27,                0.49028,                0.52421,                0.97389,                0.93406,                0.78704,                0.88057,                0.77822,                0.51785,                0.62606,                 1.0063,              0.0007625,              0.0007625,              0.0007625
                     28,                0.46116,                0.49844,                0.95371,                0.91173,                0.78898,                0.88366,                0.78268,                0.50292,                0.57508,                 1.0021,               0.000713,               0.000713,               0.000713
                     29,                0.47379,                0.51662,                0.96481,                0.91418,                0.82639,                0.88624,                 0.7827,                0.50253,                0.56591,                0.99667,              0.0006635,              0.0006635,              0.0006635
                     30,                0.44002,                0.48462,                0.94135,                0.93792,                0.79861,                0.89082,                0.77642,                0.49882,                0.55683,                  1.013,               0.000614,               0.000614,               0.000614
                     31,                0.48069,                0.51755,                0.95234,                0.95106,                0.81944,                 0.9037,                0.79427,                0.48944,                0.53786,                 1.0144,              0.0005645,              0.0005645,              0.0005645
                     32,                0.45153,                0.48508,                0.93221,                0.93719,                 0.8289,                0.88988,                0.78383,                0.48418,                0.51848,                 1.0339,               0.000515,               0.000515,               0.000515
                     33,                0.46171,                0.47535,                0.94351,                0.95323,                0.79167,                0.86954,                0.78243,                0.49712,                0.56454,                 1.0208,              0.0004655,              0.0004655,              0.0004655
                     34,                0.45855,                0.46934,                0.94994,                0.90823,                0.82475,                0.87963,                0.79673,                0.47337,                0.52654,                 1.0025,               0.000416,               0.000416,               0.000416
                     35,                0.43595,                0.45655,                0.92958,                 0.9234,                0.83715,                0.89818,                0.81089,                0.45712,                0.48471,                0.98402,              0.0003665,              0.0003665,              0.0003665
                     36,                0.43225,                0.44885,                0.92998,                0.95999,                0.83333,                0.90489,                0.81386,                0.45744,                0.47613,                 0.9875,               0.000317,               0.000317,               0.000317
                     37,                0.41358,                 0.4291,                 0.9142,                0.96639,                0.83333,                0.89805,                0.80634,                0.45095,                0.49482,                0.99355,              0.0002675,              0.0002675,              0.0002675
                     38,                0.40293,                0.42265,                0.93133,                0.93037,                0.83511,                0.89478,                 0.8112,                0.44307,                 0.4884,                0.98883,               0.000218,               0.000218,               0.000218
                     39,                0.39482,                0.41046,                0.91623,                0.97441,                0.80556,                0.90042,                0.81713,                0.42162,                0.45245,                0.97155,              0.0001685,              0.0001685,              0.0001685
                     40,                 0.3908,                0.40414,                0.91137,                0.90946,                0.83707,                 0.9018,                0.81985,                0.42705,                0.46324,                0.97825,               0.000119,               0.000119,               0.000119
